종목코드	회사명	corp_code	분류	합병관련일	마지막공시일	공시수
122290	동양밸류오션기업인수목적	00798530	청산		20130205	141
122750	우리기업인수목적1호	00803504	청산		20130312	104
121910	대우증권그린코리아기업인수목적회사	00797674	기타		20130130	119
123290	한국투자신성장1호기업인수목적회사	00802028	기타		20130516	70
128910	동부티에스블랙펄기업인수목적	00828309	청산		20131017	74
121950	미래에셋제1호기업인수목적	00798284	기타		20121029	68
124050	한화에스브이명장제1호기업인수목적	00808226	청산		20130510	110
204760	현대에이블기업인수목적1호	01041217	청산		20170914	63
207930	에스케이제1호기업인수목적	01047929	청산		20180209	60
232360	아스팩오일	00318538	기타		20180413	77
222390	케이비제8호기업인수목적	01090301	청산		20180608	50
218710	키움제3호기업인수목적	01075047	청산		20180510	50
221200	유진기업인수목적3호	01089828	청산		20180628	52
219860	한화에이스기업인수목적2호	01087079	청산		20180330	56
217810	엔에이치기업인수목적7호	01072660	청산		20180416	52
221950	케이비드림투게더제3호기업인수목적	01089961	청산		20180626	72
219960	유안타제2호기업인수목적	01089387	청산		20180426	53
226850	키움제4호기업인수목적	01102800	청산		20180821	58
225440	이베스트기업인수목적3호	01094565	청산		20190710	82
232270	케이비제9호기업인수목적	01111020	청산		20181227	68
265480	미래에셋대우기업인수목적1호	01199985	청산		20200206	42
257730	신한제3호기업인수목적	01179839	청산		20191211	59
264290	한화에이스기업인수목적3호	01197428	청산		20200304	65
271740	한국제5호기업인수목적	01234525	청산		20200525	55
279410	한화에이스기업인수목적4호	01247918	청산		20200925	77
281410	한국제6호기업인수목적	01257526	청산		20201020	73
311270	키움제5호기업인수목적	01337220	청산		20211019	56
317030	케이비제17호기업인수목적	01351114	청산		20220119	60
307160	하나머스트제6호기업인수목적	01326260	청산		20210903	63
317320	한화에스비아이기업인수목적	01351822	청산		20220222	59
323940	케이비제18호기업인수목적	01371312	청산		20220428	60
323210	이베스트이안기업인수목적1호	01366365	청산		20220517	54
340350	에스케이제6호기업인수목적	01414936	청산		20230109	56
329560	상상인이안제2호기업인수목적	01390876	청산		20220620	52
330990	케이비제19호기업인수목적	01393299	청산		20220802	70
349720	이베스트기업인수목적5호	01436336	청산		20230315	74
347140	케이프이에스제4호기업인수목적	01428249	청산		20221128	45
469880	하나30호스팩	01791321	기타		20260320	41
377630	삼성기업인수목적4호	01528530	청산		20240321	54
464680	KB제27호스팩	01785551	기타		20260318	42
353070	에이치엠씨아이비제4호기업인수목적	01447217	청산		20230602	50
464440	한국제13호스팩	01775952	기타		20260311	46
380440	엔에이치기업인수목적19호	01535257	청산		20240325	63
471050	대신밸런스제17호스팩	01792825	기타		20260318	38
472230	SK증권제11호스팩	01797440	기타		20260311	41
468760	유진스팩10호	01787072	기타		20260316	43
469900	하나31호스팩	01791561	기타		20260320	41
452670	상상인제4호스팩	01717170	기타		20260317	55
343510	하나금융16호기업인수목적	01419384	청산		20230518	61
367340	디비금융제8호기업인수목적	01505450	청산		20231011	50
469480	IBKS제24호스팩	01792791	기타		20260323	44
380320	삼성머스트기업인수목적5호	01534522	청산		20240419	52
478390	KB제29호스팩	01816268	기타		20260319	36
467930	IBKS제23호스팩	01785700	기타		20260323	59
475250	하나33호스팩	01807729	기타		20260320	34
478110	이베스트스팩6호	01815764	기타		20260313	33
473050	유안타제15호스팩	01798980	기타		20260323	52
477380	미래에셋비전스팩4호	01814233	기타		20260317	27
489210	교보17호스팩	01866528	기타		20260319	28
487830	신한제15호스팩	01854408	기타		20260319	32
484130	하나34호스팩	01847550	기타		20260320	28
475240	하나32호스팩	01807738	기타		20260324	30
425290	삼성기업인수목적6호	01624162	청산		20250508	46
489730	디비금융제13호스팩	01857991	기타		20260318	27
458610	한국제12호스팩	01761296	기타		20260324	49
474490	유안타제16호스팩	01804476	기타		20260313	32
430700	유안타제9호기업인수목적	01663639	청산		20250619	52
473950	SK증권제13호스팩	01801822	기타		20260316	31
487720	키움제10호스팩	01877126	기타		20260311	30
477470	미래에셋비전스팩5호	01817249	기타		20260320	30
400840	하이제7호기업인수목적	01586172	청산		20241015	65
481890	엔에이치스팩31호	01834194	기타		20260317	32
482690	대신밸런스제19호스팩	01845534	기타		20260311	29
489480	키움제11호스팩	01873272	기타		20260324	27
493790	유안타제17호스팩	01872219	기타		20260323	37
488060	유진스팩11호	01854392	기타		20260318	31
498390	한화플러스제5호스팩	01881800	기타		20260319	22
472220	신영스팩10호	01796858	기타		20260311	40
477340	에이치엠씨제7호스팩	01813377	기타		20260323	35
478440	미래에셋비전스팩6호	01819867	기타		20260320	33
482680	미래에셋비전스팩7호	01841635	기타		20260320	33
415580	상상인제3호기업인수목적	01604371	청산		20250218	51
486630	KB제30호스팩	01851650	기타		20260319	34
473000	SK증권제12호스팩	01798722	기타		20260312	35
444920	유안타제11호스팩	01688346	기타		20260325	62
452980	신한제11호스팩	01719105	기타		20260319	45
474930	신한제13호스팩	01807747	기타		20260319	33
0068Y0	비엔케이제3호스팩	01933981	기타		20260323	16
448740	삼성기업인수목적8호	01700921	청산		20260105	53
0115H0	삼성스팩13호	01957909	기타		20260318	18
0096B0	삼성스팩12호	01946532	기타		20260320	20
479880	한국제15호스팩	01818682	기타		20260313	32
455910	에스케이증권제9호기업인수목적	01725577	청산		20260316	60
466690	키움히어로제1호스팩	01784677	기타		20260319	38
445360	비엔케이제1호기업인수목적	01689336	청산		20251021	62
0037T0	KB제32호스팩	01902990	기타		20260319	17
435380	유안타제10호기업인수목적	01670675	청산		20250811	62
450050	하이제8호기업인수목적	01705625	청산		20260312	56
446750	하나26호기업인수목적	01696275	청산		20251103	60
450940	유안타제14호기업인수목적	01706819	청산		20260313	56
454640	하나29호기업인수목적	01724417	청산		20260310	45
496070	신한제16호스팩	01875146	기타		20260319	22
439250	삼성기업인수목적7호	01675227	청산		20250825	57
442130	유진기업인수목적9호	01678835	청산		20250709	54
457940	에스케이증권제10호기업인수목적	01744703	청산		20260318	55
0041B0	교보18호스팩	01910324	기타		20260319	24
0097F0	미래에셋비전스팩10호	01949469	기타		20260320	20
440820	엔에이치기업인수목적27호	01677429	청산		20251030	59
0054V0	엔에이치스팩32호	01931585	기타		20260317	14
449020	유안타제13호기업인수목적	01701753	청산		20260112	52
0093G0	미래에셋비전스팩8호	01947072	기타		20260320	18
0096D0	미래에셋비전스팩9호	01946596	기타		20260317	17
0041L0	하나35호스팩	01906598	기타		20260320	21
487360	신한제14호스팩	01853214	기타		20260319	50
0098T0	교보19호스팩	01949140	기타		20260320	19
0099X0	IBKS제25호스팩	01949584	기타		20260323	19
456490	교보14호기업인수목적	01760640	청산		20260320	50
0088D0	메리츠제1호스팩	01958111	기타		20260317	14
462020	에이치엠씨제6호스팩	01767494	기타		20260323	46
0004Y0	디비금융제14호스팩	01884065	기타		20260318	19
0041J0	엘에스스팩1호	01906552	기타		20260313	17
439410	엔에이치기업인수목적26호	01675254	청산		20250708	47
442900	미래에셋드림기업인수목적1호	01683387	청산		20260112	65
0044K0	삼성스팩10호	01910759	기타		20260319	19
0091W0	신영스팩11호	01945339	기타		20260311	12
0071M0	삼성스팩11호	01935183	기타		20260319	17
445970	신영해피투모로우제9호기업인수목적	01689938	청산		20251029	51
0099W0	미래에셋비전스팩11호	01948220	기타		20260317	19
0101C0	하나36호스팩	01949195	기타		20260324	19
0105P0	유진스팩12호	01954832	기타		20260317	19
0072Z0	KB제33호스팩	01934935	기타		20260319	16
123300	부국퓨쳐스타즈기업인수목적	00808262	합병성공(추정)	20110809	20130912	65
123550	대신증권그로쓰알파기업인수목적	00804114	청산	20110824	20130617	176
126680	아이비케이에스스마트에스엠이기업인수목적1호	00824659	청산	20111118	20131028	97
123910	에스비아이앤솔로몬드림기업인수목적	00812229	합병취소	20111223	20130401	109
123160	히든챔피언제1호기업인수목적	00804983	합병성공	20121102	20130503	193
208870	하나머스트3호기업인수목적	01047716	청산	20150915	20170828	100
230490	동부제4호기업인수목적	01109186	청산	20160526	20181018	70
204440	대우기업인수목적2호	01038161	청산	20161017	20170828	67
204650	케이티비기업인수목적1호	01043871	청산	20170526	20171012	59
219580	골든브릿지제3호기업인수목적	01080410	청산	20170811	20180508	56
207720	엔에이치에스엘기업인수목적	01047567	청산	20170825	20171219	73
206660	골든브릿지제2호기업인수목적	01046179	청산	20170829	20180122	72
223040	교보5호기업인수목적	01091391	청산	20170907	20180703	63
